species,location,season,temperature_c,humidity_pct,soil_moisture_pct,days_since_watered,missed_waterings,light_hours_daily,pot_has_drainage,health_score,health_label,recommended_water_days
Aloe Vera,Outdoor - Shade,Dry Season,22.6,54.8,78.1,28.8,1,9.7,1,79.9,Healthy,12
Orchid,Indoor - Medium Light,Dry Season,30.7,39.4,32.2,25.4,7,10.1,1,21.8,At Risk,5
ZZ Plant,Indoor - Low Light,Dry Season,25.8,74.0,91.8,28.5,2,4.8,1,23.1,At Risk,12
Snake Plant,Outdoor - Shade,Dry Season,22.8,37.5,91.8,3.1,1,10.4,1,76.8,Healthy,12
Rubber Plant,Outdoor - Full Sun,Rainy Season,29.6,53.4,58.0,15.5,1,10.4,0,63.7,Needs Attention,9
Cactus,Outdoor - Full Sun,Dry Season,33.3,78.5,88.9,16.3,4,7.9,0,52.0,Needs Attention,23
Aloe Vera,Indoor - Bright Light,Rainy Season,19.0,72.2,77.4,10.6,3,3.5,1,88.5,Healthy,16
Aloe Vera,Outdoor - Shade,Dry Season,36.6,50.5,54.7,16.0,4,6.2,1,57.9,Needs Attention,12
Peace Lily,Indoor - Bright Light,Rainy Season,32.6,87.8,22.4,19.9,6,6.2,1,7.3,At Risk,7
Monstera,Indoor - Low Light,Rainy Season,34.3,36.8,37.1,27.1,5,6.1,1,19.9,At Risk,9
ZZ Plant,Indoor - Medium Light,Rainy Season,18.4,42.5,51.8,8.1,7,2.4,1,64.0,Needs Attention,16
Spider Plant,Indoor - Low Light,Dry Season,33.2,31.7,51.4,15.3,3,11.7,1,63.1,Needs Attention,5
Cactus,Outdoor - Full Sun,Rainy Season,24.9,27.0,5.2,4.3,5,5.4,1,14.6,At Risk,23
Orchid,Outdoor - Full Sun,Dry Season,29.0,45.3,48.3,15.2,7,9.3,1,27.8,At Risk,5
Boston Fern,Outdoor - Full Sun,Dry Season,32.1,59.7,54.1,12.9,4,9.2,1,42.3,At Risk,1
Orchid,Indoor - Bright Light,Dry Season,35.3,35.2,31.0,8.7,7,10.2,1,25.7,At Risk,5
Spider Plant,Outdoor - Shade,Dry Season,29.0,43.7,30.7,10.6,0,11.3,1,56.7,Needs Attention,5
Pothos,Indoor - Medium Light,Rainy Season,24.7,69.0,7.2,6.2,6,11.4,1,13.8,At Risk,9
Fiddle Leaf Fig,Outdoor - Full Sun,Rainy Season,37.8,46.1,94.1,27.4,7,2.7,1,25.1,At Risk,9
Dracaena,Indoor - Low Light,Dry Season,21.8,62.8,20.4,15.6,6,4.6,1,28.2,At Risk,8
Boston Fern,Indoor - Bright Light,Dry Season,36.5,29.4,43.0,20.9,2,8.2,1,29.4,At Risk,1
Pothos,Indoor - Low Light,Dry Season,23.4,63.8,86.6,28.4,1,6.5,1,73.3,Needs Attention,5
Dracaena,Indoor - Low Light,Dry Season,26.2,26.0,58.3,7.6,3,11.4,1,91.8,Healthy,8
Dracaena,Indoor - Medium Light,Rainy Season,31.4,88.5,10.2,0.2,5,5.3,1,53.2,Needs Attention,12
Boston Fern,Indoor - Low Light,Dry Season,18.2,63.3,61.3,19.1,1,9.0,1,56.6,Needs Attention,1
Spider Plant,Indoor - Low Light,Dry Season,18.3,30.0,91.1,10.6,1,9.3,1,50.5,Needs Attention,5
Peace Lily,Outdoor - Shade,Dry Season,23.7,76.1,39.7,15.4,6,9.4,1,44.2,At Risk,7
Fiddle Leaf Fig,Indoor - Bright Light,Dry Season,24.7,81.2,91.5,25.8,1,9.9,1,43.6,At Risk,9
Orchid,Indoor - Bright Light,Dry Season,33.7,52.3,50.0,23.6,1,2.2,1,48.8,At Risk,5
Spider Plant,Outdoor - Shade,Dry Season,23.6,71.3,1.1,12.3,5,3.6,0,54.1,Needs Attention,5
Spider Plant,Indoor - Bright Light,Dry Season,34.1,25.5,92.5,13.3,1,7.4,1,58.9,Needs Attention,5
ZZ Plant,Outdoor - Full Sun,Rainy Season,30.6,49.3,27.1,7.0,0,3.0,1,93.0,Healthy,16
Fiddle Leaf Fig,Outdoor - Full Sun,Rainy Season,35.7,47.4,46.2,12.4,6,8.1,0,6.3,At Risk,9
Philodendron,Outdoor - Full Sun,Dry Season,32.8,81.1,53.2,23.7,5,3.6,0,50.7,Needs Attention,9
Orchid,Indoor - Bright Light,Rainy Season,20.4,38.8,31.1,5.0,6,5.9,1,45.4,At Risk,9
Aloe Vera,Indoor - Bright Light,Dry Season,26.3,74.0,87.1,20.4,7,9.0,0,48.5,At Risk,12
Bamboo Palm,Indoor - Low Light,Dry Season,20.3,46.9,14.3,20.8,6,3.1,1,8.3,At Risk,3
Pothos,Indoor - Low Light,Rainy Season,33.9,29.5,47.4,16.8,4,4.2,1,27.2,At Risk,9
Bamboo Palm,Indoor - Low Light,Rainy Season,34.9,56.5,33.4,23.7,5,7.1,1,45.7,At Risk,7
Boston Fern,Outdoor - Full Sun,Rainy Season,25.8,77.2,90.2,6.1,7,2.4,1,34.3,At Risk,5
Pothos,Outdoor - Full Sun,Rainy Season,25.5,77.2,43.3,29.9,2,2.4,1,80.3,Healthy,9
Aloe Vera,Indoor - Bright Light,Dry Season,25.4,55.2,72.3,19.7,2,11.3,1,83.2,Healthy,12
Snake Plant,Outdoor - Full Sun,Rainy Season,29.0,29.3,76.7,17.5,4,7.2,1,74.2,Needs Attention,16
Spider Plant,Indoor - Low Light,Dry Season,31.4,65.3,74.2,5.1,0,5.5,1,100.0,Healthy,5
Monstera,Indoor - Medium Light,Rainy Season,35.1,60.2,75.8,9.2,4,9.2,1,71.6,Needs Attention,9
Aloe Vera,Outdoor - Full Sun,Dry Season,35.2,81.5,72.4,22.4,7,2.8,1,0.0,At Risk,16
Philodendron,Indoor - Bright Light,Rainy Season,33.0,39.6,52.9,24.8,4,8.9,1,37.7,At Risk,9
ZZ Plant,Outdoor - Full Sun,Dry Season,34.4,55.0,98.3,23.6,1,9.0,1,65.6,Needs Attention,12
Aloe Vera,Indoor - Medium Light,Rainy Season,24.5,83.4,88.8,9.8,4,6.4,1,82.7,Healthy,16
Aloe Vera,Indoor - Bright Light,Dry Season,29.5,29.4,9.5,30.0,2,11.3,1,38.2,At Risk,12
Bamboo Palm,Indoor - Low Light,Dry Season,18.4,48.4,78.4,17.0,6,2.8,1,56.7,Needs Attention,3
Pothos,Outdoor - Shade,Rainy Season,20.7,58.3,0.5,28.2,4,10.6,1,30.5,At Risk,9
Cactus,Outdoor - Full Sun,Dry Season,29.6,62.0,86.8,11.4,1,5.4,1,100.0,Healthy,19
Peace Lily,Outdoor - Full Sun,Rainy Season,27.9,81.0,46.1,28.2,5,2.5,1,26.3,At Risk,7
Monstera,Outdoor - Shade,Dry Season,19.1,66.9,97.4,2.1,5,3.6,1,58.6,Needs Attention,5
Orchid,Indoor - Medium Light,Dry Season,27.1,86.7,6.1,20.6,0,8.1,1,45.3,At Risk,9
Dracaena,Outdoor - Full Sun,Dry Season,29.7,79.2,64.3,2.4,2,7.9,1,100.0,Healthy,12
Aloe Vera,Outdoor - Full Sun,Rainy Season,22.6,84.5,61.6,7.4,5,8.6,1,71.9,Needs Attention,16
Monstera,Indoor - Low Light,Dry Season,22.0,39.1,69.1,18.1,0,6.7,1,83.5,Healthy,5
ZZ Plant,Outdoor - Shade,Dry Season,31.4,83.0,30.6,16.6,1,2.7,1,84.9,Healthy,16
Spider Plant,Outdoor - Full Sun,Rainy Season,37.5,74.4,96.8,13.2,7,3.6,1,16.4,At Risk,9
Cactus,Outdoor - Shade,Dry Season,25.1,44.7,97.5,5.1,3,3.5,1,59.7,Needs Attention,19
ZZ Plant,Indoor - Bright Light,Rainy Season,30.3,35.1,47.8,23.4,7,3.4,1,30.8,At Risk,16
Pothos,Indoor - Low Light,Dry Season,37.7,50.7,71.5,8.5,1,6.6,1,66.9,Needs Attention,5
Philodendron,Outdoor - Full Sun,Dry Season,33.3,86.1,1.6,15.7,4,9.4,1,34.8,At Risk,9
Peace Lily,Indoor - Medium Light,Rainy Season,24.6,54.5,76.2,3.8,4,10.9,1,84.3,Healthy,7
Dracaena,Outdoor - Shade,Rainy Season,29.1,49.2,66.2,4.2,5,10.5,0,70.3,Needs Attention,12
Fiddle Leaf Fig,Indoor - Medium Light,Rainy Season,23.7,85.3,97.0,17.1,0,9.9,1,68.0,Needs Attention,9
Bamboo Palm,Outdoor - Full Sun,Rainy Season,37.8,26.6,25.3,15.6,3,4.5,1,47.5,At Risk,7
Spider Plant,Outdoor - Shade,Dry Season,22.6,42.2,55.4,6.0,7,6.9,1,80.2,Healthy,5
Cactus,Indoor - Bright Light,Dry Season,27.4,55.3,76.1,4.6,1,9.6,1,61.8,Needs Attention,19
Snake Plant,Outdoor - Full Sun,Rainy Season,34.6,36.1,3.0,6.1,6,8.5,1,17.4,At Risk,16
Spider Plant,Indoor - Low Light,Dry Season,26.8,79.5,16.1,0.7,1,4.2,1,68.9,Needs Attention,9
Rubber Plant,Indoor - Low Light,Rainy Season,23.6,36.3,38.0,24.0,5,2.6,1,39.7,At Risk,9
Aloe Vera,Indoor - Medium Light,Rainy Season,18.4,78.7,52.5,23.3,2,6.2,1,68.6,Needs Attention,16
Aloe Vera,Indoor - Bright Light,Dry Season,23.3,64.7,67.8,9.5,1,8.2,1,99.4,Healthy,12
Spider Plant,Indoor - Medium Light,Dry Season,18.2,71.5,70.6,18.7,5,9.9,1,44.0,At Risk,5
Cactus,Indoor - Medium Light,Rainy Season,34.7,85.8,18.6,11.2,3,4.0,0,56.1,Needs Attention,23
Bamboo Palm,Indoor - Low Light,Dry Season,28.0,41.0,47.1,19.9,1,8.5,1,66.8,Needs Attention,3
Boston Fern,Indoor - Low Light,Dry Season,27.2,81.2,24.9,21.5,6,10.8,1,0.0,At Risk,5
Dracaena,Indoor - Bright Light,Rainy Season,30.1,81.1,82.2,5.2,4,7.3,1,81.1,Healthy,12
Cactus,Outdoor - Shade,Dry Season,26.7,35.7,11.7,16.4,0,2.5,1,99.0,Healthy,19
Aloe Vera,Indoor - Medium Light,Rainy Season,24.5,25.7,82.7,24.0,4,3.0,0,39.5,At Risk,16
Monstera,Indoor - Low Light,Dry Season,29.9,73.0,3.2,19.8,3,4.2,1,23.3,At Risk,5
Dracaena,Indoor - Low Light,Dry Season,37.4,53.0,34.8,1.5,3,2.3,1,66.2,Needs Attention,8
Pothos,Indoor - Low Light,Dry Season,29.6,48.3,82.4,24.6,5,11.0,1,54.0,Needs Attention,5
Dracaena,Outdoor - Full Sun,Rainy Season,29.3,36.9,14.0,17.3,4,5.8,1,45.1,At Risk,12
Fiddle Leaf Fig,Outdoor - Full Sun,Rainy Season,19.5,52.3,60.2,28.1,1,6.1,0,40.2,At Risk,9
Orchid,Indoor - Bright Light,Dry Season,36.8,68.0,7.7,10.6,3,8.8,1,49.3,At Risk,5
Snake Plant,Indoor - Low Light,Dry Season,25.1,51.9,67.6,19.7,7,4.2,1,65.6,Needs Attention,12
Snake Plant,Indoor - Bright Light,Rainy Season,24.4,88.0,26.2,9.4,1,10.9,1,86.7,Healthy,16
Cactus,Outdoor - Full Sun,Dry Season,23.7,30.9,31.5,1.3,4,6.3,1,80.0,Healthy,19
Fiddle Leaf Fig,Indoor - Medium Light,Dry Season,26.6,49.6,91.5,7.5,1,4.5,1,81.6,Healthy,5
Fiddle Leaf Fig,Indoor - Bright Light,Dry Season,23.4,25.4,97.8,29.0,3,4.3,1,21.4,At Risk,5
ZZ Plant,Indoor - Bright Light,Dry Season,37.8,26.7,60.4,19.8,0,6.3,1,73.3,Needs Attention,12
Monstera,Outdoor - Shade,Rainy Season,36.3,75.5,13.1,17.0,6,9.6,1,45.2,At Risk,9
Peace Lily,Indoor - Bright Light,Dry Season,34.6,86.6,30.5,7.9,5,10.7,1,45.8,At Risk,7
Pothos,Indoor - Bright Light,Rainy Season,35.2,72.5,94.7,23.4,2,5.1,0,29.8,At Risk,9
Philodendron,Outdoor - Shade,Rainy Season,26.2,35.6,22.2,9.5,3,10.2,1,87.7,Healthy,9
Orchid,Outdoor - Full Sun,Dry Season,35.4,30.4,21.1,22.6,4,10.7,1,0.0,At Risk,5
ZZ Plant,Outdoor - Shade,Dry Season,21.0,42.4,36.1,12.3,7,3.7,1,64.8,Needs Attention,12
Peace Lily,Indoor - Medium Light,Dry Season,22.9,88.4,34.5,10.1,6,5.0,1,30.6,At Risk,7
Spider Plant,Indoor - Medium Light,Rainy Season,18.9,67.7,53.5,2.5,3,4.7,0,87.0,Healthy,9
Cactus,Outdoor - Shade,Dry Season,21.4,47.9,76.2,15.2,6,4.9,1,65.5,Needs Attention,19
Orchid,Indoor - Low Light,Rainy Season,35.0,38.1,93.4,20.7,0,3.3,0,21.1,At Risk,9
Pothos,Outdoor - Shade,Dry Season,33.3,41.4,86.6,3.1,1,4.9,0,55.2,Needs Attention,5
Pothos,Outdoor - Full Sun,Rainy Season,32.9,39.2,6.0,3.9,5,3.2,1,46.3,At Risk,9
Cactus,Indoor - Low Light,Rainy Season,26.2,33.2,2.8,18.7,0,4.6,0,64.7,Needs Attention,23
Boston Fern,Indoor - Medium Light,Dry Season,34.1,50.9,80.6,17.8,3,7.6,1,65.3,Needs Attention,1
Dracaena,Indoor - Medium Light,Rainy Season,35.3,34.8,85.2,29.7,5,7.3,1,0.0,At Risk,12
Peace Lily,Outdoor - Full Sun,Dry Season,19.6,85.1,32.6,3.8,6,2.2,1,81.0,Healthy,7
Bamboo Palm,Outdoor - Full Sun,Dry Season,20.5,77.9,92.4,13.8,3,8.5,0,22.7,At Risk,7
Fiddle Leaf Fig,Outdoor - Full Sun,Dry Season,34.5,83.4,55.3,24.4,6,5.8,1,31.3,At Risk,9
Spider Plant,Outdoor - Shade,Dry Season,19.6,78.9,97.7,12.1,5,10.7,1,13.3,At Risk,9
Bamboo Palm,Outdoor - Shade,Rainy Season,29.8,70.2,36.5,22.2,4,7.8,1,22.2,At Risk,7
Spider Plant,Indoor - Bright Light,Rainy Season,37.9,31.0,78.0,20.2,0,4.8,1,53.5,Needs Attention,9
Boston Fern,Outdoor - Full Sun,Rainy Season,33.4,67.4,83.2,29.3,6,7.4,1,8.1,At Risk,5
Fiddle Leaf Fig,Indoor - Medium Light,Dry Season,23.4,50.9,59.9,19.6,3,11.0,1,34.1,At Risk,5
Rubber Plant,Outdoor - Shade,Rainy Season,33.4,46.9,94.2,15.9,4,5.2,0,27.7,At Risk,9
Fiddle Leaf Fig,Outdoor - Shade,Dry Season,36.6,68.9,30.7,11.1,0,4.5,0,47.7,At Risk,5
Dracaena,Indoor - Bright Light,Rainy Season,28.0,31.9,11.4,28.2,4,3.2,1,39.2,At Risk,12
Philodendron,Outdoor - Full Sun,Rainy Season,27.1,50.8,45.5,12.4,6,8.5,1,56.2,Needs Attention,9
Fiddle Leaf Fig,Indoor - Bright Light,Rainy Season,23.9,35.6,67.6,1.1,3,4.1,0,80.4,Healthy,9
Rubber Plant,Outdoor - Full Sun,Dry Season,20.3,41.5,29.5,15.9,2,7.7,1,57.6,Needs Attention,5
Spider Plant,Outdoor - Full Sun,Dry Season,28.5,45.7,47.0,15.1,5,2.8,1,4.3,At Risk,5
Monstera,Outdoor - Full Sun,Dry Season,24.5,89.2,32.6,11.8,3,2.4,1,34.6,At Risk,9
Monstera,Outdoor - Shade,Rainy Season,30.4,47.2,87.4,0.4,4,4.8,0,55.9,Needs Attention,9
Fiddle Leaf Fig,Indoor - Medium Light,Dry Season,21.8,54.9,75.2,27.2,3,2.5,1,29.2,At Risk,5
Orchid,Indoor - Medium Light,Dry Season,26.9,25.9,24.7,26.0,6,8.1,1,11.7,At Risk,5
ZZ Plant,Outdoor - Full Sun,Rainy Season,23.7,79.4,54.3,11.2,6,6.4,0,81.2,Healthy,16
Fiddle Leaf Fig,Outdoor - Shade,Dry Season,35.1,86.9,88.4,8.1,1,3.5,1,74.8,Needs Attention,9
Bamboo Palm,Indoor - Bright Light,Rainy Season,22.0,41.8,11.4,27.5,6,2.4,0,20.2,At Risk,7
Rubber Plant,Indoor - Medium Light,Rainy Season,37.7,76.8,75.7,20.4,3,5.6,1,32.9,At Risk,9
Bamboo Palm,Indoor - Bright Light,Rainy Season,23.7,68.7,17.0,1.7,7,6.1,1,34.2,At Risk,7
Snake Plant,Indoor - Bright Light,Rainy Season,30.0,72.4,31.5,11.8,4,3.7,0,79.5,Healthy,16
Snake Plant,Indoor - Medium Light,Rainy Season,28.9,55.9,92.2,2.2,1,8.3,1,65.4,Needs Attention,16
Bamboo Palm,Outdoor - Shade,Rainy Season,26.0,51.6,97.8,5.4,5,3.9,1,84.8,Healthy,7
Orchid,Indoor - Bright Light,Dry Season,34.7,77.3,86.6,1.8,1,10.9,1,76.8,Healthy,9
Fiddle Leaf Fig,Outdoor - Shade,Rainy Season,33.4,89.6,1.1,21.9,5,10.8,1,26.1,At Risk,9
ZZ Plant,Indoor - Bright Light,Rainy Season,32.6,70.5,58.9,28.2,1,7.8,0,61.0,Needs Attention,16
Peace Lily,Indoor - Bright Light,Rainy Season,27.5,27.8,69.9,9.9,4,7.7,1,32.7,At Risk,7
Bamboo Palm,Indoor - Low Light,Dry Season,24.3,84.3,6.1,20.8,1,4.9,0,56.2,Needs Attention,7
Aloe Vera,Indoor - Bright Light,Dry Season,29.5,29.0,3.1,21.4,3,6.1,1,31.1,At Risk,12
Orchid,Indoor - Bright Light,Rainy Season,35.8,63.8,81.0,12.9,7,5.0,1,30.3,At Risk,9
Rubber Plant,Outdoor - Full Sun,Dry Season,29.8,52.7,61.5,2.4,6,9.2,1,77.2,Healthy,5
Snake Plant,Outdoor - Shade,Rainy Season,26.0,77.8,1.4,19.5,0,5.1,1,90.9,Healthy,16
Monstera,Outdoor - Shade,Dry Season,31.3,69.1,93.2,29.9,1,4.1,0,47.1,At Risk,5
Boston Fern,Indoor - Bright Light,Dry Season,20.8,80.8,50.0,20.2,1,11.1,0,57.9,Needs Attention,5
Monstera,Outdoor - Full Sun,Rainy Season,25.5,82.6,15.1,4.6,3,5.9,0,43.9,At Risk,9
ZZ Plant,Outdoor - Shade,Rainy Season,32.5,48.9,14.7,6.2,3,9.5,1,61.6,Needs Attention,16
Aloe Vera,Indoor - Low Light,Rainy Season,33.9,46.0,76.5,4.3,2,11.6,1,70.5,Needs Attention,16
Philodendron,Indoor - Bright Light,Rainy Season,19.6,64.0,48.6,16.4,4,10.6,1,38.6,At Risk,9
Bamboo Palm,Indoor - Low Light,Dry Season,28.0,67.0,51.1,3.6,1,2.6,0,98.7,Healthy,3
Peace Lily,Indoor - Medium Light,Rainy Season,24.6,68.1,75.2,24.4,3,4.9,1,28.9,At Risk,7
Fiddle Leaf Fig,Outdoor - Shade,Dry Season,35.5,36.0,5.4,21.5,2,4.2,0,42.2,At Risk,5
Philodendron,Outdoor - Shade,Dry Season,28.2,64.3,46.1,24.9,7,11.3,1,11.7,At Risk,5
Snake Plant,Indoor - Medium Light,Rainy Season,35.7,28.1,96.1,20.4,3,4.3,1,67.1,Needs Attention,16
Snake Plant,Outdoor - Full Sun,Rainy Season,37.9,84.2,22.2,1.7,6,5.6,1,64.7,Needs Attention,16
Bamboo Palm,Indoor - Low Light,Rainy Season,19.3,50.8,47.4,13.5,0,8.0,1,82.6,Healthy,7
Peace Lily,Outdoor - Full Sun,Rainy Season,35.1,68.8,13.7,8.3,6,9.5,1,16.8,At Risk,7
Peace Lily,Indoor - Low Light,Dry Season,22.1,52.2,22.0,0.0,3,7.1,1,83.5,Healthy,3
Bamboo Palm,Indoor - Bright Light,Rainy Season,35.5,72.0,23.2,21.2,3,7.1,1,39.7,At Risk,7
Snake Plant,Outdoor - Full Sun,Dry Season,26.9,68.9,50.9,25.8,6,8.7,0,22.3,At Risk,12
Snake Plant,Indoor - Medium Light,Dry Season,33.1,41.2,53.8,29.8,3,10.6,1,31.0,At Risk,12
Fiddle Leaf Fig,Indoor - Low Light,Dry Season,22.5,48.6,43.9,29.3,5,6.9,1,43.0,At Risk,5
ZZ Plant,Indoor - Medium Light,Dry Season,24.3,68.8,84.4,27.5,2,8.3,0,42.4,At Risk,12
Peace Lily,Indoor - Low Light,Dry Season,32.8,34.0,44.0,14.5,1,7.1,1,37.8,At Risk,3
ZZ Plant,Outdoor - Shade,Dry Season,23.7,43.8,37.7,11.8,5,6.5,1,74.8,Needs Attention,12
Orchid,Indoor - Low Light,Rainy Season,31.3,32.7,40.1,23.8,5,6.1,0,7.9,At Risk,9
Cactus,Indoor - Low Light,Dry Season,32.0,80.4,11.6,21.2,1,9.6,0,44.4,At Risk,23
ZZ Plant,Outdoor - Full Sun,Rainy Season,27.0,59.5,74.6,24.8,6,10.1,0,14.1,At Risk,16
ZZ Plant,Indoor - Medium Light,Dry Season,34.5,69.8,55.2,7.3,0,4.0,1,100.0,Healthy,12
Rubber Plant,Indoor - Bright Light,Rainy Season,22.1,55.5,80.1,5.4,3,7.2,1,100.0,Healthy,9
Orchid,Indoor - Medium Light,Dry Season,35.1,72.1,36.0,2.6,0,2.8,0,85.2,Healthy,5
Rubber Plant,Outdoor - Shade,Dry Season,20.2,62.1,58.2,21.4,4,7.5,1,33.7,At Risk,5
Spider Plant,Outdoor - Full Sun,Dry Season,24.6,49.2,76.0,10.2,1,7.0,1,90.1,Healthy,5
Orchid,Outdoor - Full Sun,Dry Season,32.9,84.7,42.4,10.3,3,8.2,1,67.6,Needs Attention,9
Peace Lily,Indoor - Low Light,Rainy Season,33.2,77.8,34.2,13.0,6,10.3,1,12.3,At Risk,7
Aloe Vera,Outdoor - Full Sun,Rainy Season,25.9,28.3,40.2,20.2,1,7.8,1,85.4,Healthy,16
Spider Plant,Indoor - Low Light,Rainy Season,28.9,38.3,29.2,22.5,4,5.8,0,50.3,Needs Attention,9
Pothos,Outdoor - Shade,Rainy Season,28.5,71.0,25.2,13.4,1,7.1,1,86.8,Healthy,9
ZZ Plant,Outdoor - Full Sun,Dry Season,25.8,34.0,73.8,25.7,5,8.0,1,8.1,At Risk,12
Fiddle Leaf Fig,Outdoor - Full Sun,Rainy Season,21.6,32.0,84.2,18.4,4,5.9,1,22.9,At Risk,9
Boston Fern,Outdoor - Full Sun,Dry Season,19.7,48.1,68.0,8.2,2,3.7,1,53.2,Needs Attention,1
Aloe Vera,Indoor - Medium Light,Rainy Season,32.8,44.9,26.5,20.9,5,7.3,1,79.6,Healthy,16
Cactus,Indoor - Low Light,Dry Season,33.8,77.8,48.2,1.7,1,3.7,1,95.9,Healthy,23
Snake Plant,Outdoor - Full Sun,Dry Season,27.7,26.6,24.9,12.2,1,5.3,1,97.8,Healthy,12
Spider Plant,Outdoor - Shade,Dry Season,25.7,57.9,85.6,22.5,5,7.6,1,1.0,At Risk,5
Fiddle Leaf Fig,Outdoor - Full Sun,Rainy Season,24.3,80.4,4.1,1.5,2,9.4,1,67.6,Needs Attention,9
Aloe Vera,Outdoor - Full Sun,Dry Season,22.7,56.4,42.9,2.2,0,6.6,1,100.0,Healthy,12
Cactus,Indoor - Medium Light,Rainy Season,27.3,76.5,40.2,12.7,6,3.2,0,74.8,Needs Attention,23
Monstera,Indoor - Medium Light,Rainy Season,20.0,50.6,61.7,25.8,4,7.7,1,55.2,Needs Attention,9
Spider Plant,Indoor - Low Light,Dry Season,35.4,61.7,51.7,8.5,0,4.9,1,74.3,Needs Attention,5
Fiddle Leaf Fig,Indoor - Low Light,Rainy Season,36.5,28.7,48.6,27.4,4,3.6,0,45.5,At Risk,9
Snake Plant,Indoor - Bright Light,Rainy Season,37.3,49.5,60.3,2.4,4,5.9,1,79.2,Healthy,16
Dracaena,Outdoor - Shade,Dry Season,26.1,82.2,64.9,27.0,4,4.7,1,8.1,At Risk,12
Philodendron,Outdoor - Shade,Dry Season,25.5,38.6,69.6,28.3,6,5.3,1,25.9,At Risk,5
ZZ Plant,Indoor - Bright Light,Rainy Season,24.8,89.1,83.9,24.3,1,2.3,1,55.2,Needs Attention,16
Fiddle Leaf Fig,Outdoor - Shade,Rainy Season,30.4,32.8,97.7,5.6,6,11.4,1,75.0,Needs Attention,9
Cactus,Outdoor - Shade,Dry Season,24.6,70.6,76.5,27.9,1,2.3,1,84.1,Healthy,19
Fiddle Leaf Fig,Outdoor - Shade,Dry Season,30.9,71.6,97.7,11.3,3,8.3,1,20.0,At Risk,5
Rubber Plant,Indoor - Medium Light,Dry Season,29.9,56.8,13.3,7.3,3,4.3,0,48.3,At Risk,5
Boston Fern,Indoor - Bright Light,Rainy Season,35.7,34.9,59.8,19.9,5,2.8,1,0.0,At Risk,5
Dracaena,Indoor - Bright Light,Dry Season,28.0,84.1,71.7,17.5,6,9.2,1,2.6,At Risk,12
Snake Plant,Indoor - Low Light,Rainy Season,27.6,29.5,55.0,12.5,6,10.7,1,89.6,Healthy,16
Spider Plant,Outdoor - Shade,Rainy Season,28.3,43.9,46.9,25.7,5,8.2,0,37.0,At Risk,9
ZZ Plant,Indoor - Medium Light,Rainy Season,27.7,36.6,89.1,13.8,5,5.5,1,77.4,Healthy,16
Pothos,Outdoor - Shade,Dry Season,23.6,37.0,3.9,0.7,4,2.2,0,32.1,At Risk,5
Snake Plant,Indoor - Low Light,Dry Season,33.2,83.1,43.3,16.1,1,4.5,1,79.7,Healthy,16
Boston Fern,Outdoor - Full Sun,Rainy Season,36.5,87.5,50.9,13.6,5,10.9,1,21.6,At Risk,5
Bamboo Palm,Indoor - Bright Light,Rainy Season,29.6,30.4,15.5,13.2,5,2.6,0,53.3,Needs Attention,7
Aloe Vera,Indoor - Bright Light,Dry Season,29.4,84.1,0.6,24.3,2,8.8,1,38.9,At Risk,16
Dracaena,Outdoor - Shade,Dry Season,32.7,89.7,28.8,16.1,0,10.8,0,80.6,Healthy,12
Spider Plant,Outdoor - Full Sun,Dry Season,23.4,31.7,29.5,2.7,2,8.1,1,87.8,Healthy,5
Philodendron,Outdoor - Shade,Dry Season,33.6,56.5,79.4,17.3,2,5.4,1,56.7,Needs Attention,5
Boston Fern,Indoor - Bright Light,Rainy Season,31.0,58.2,44.6,29.0,2,9.1,1,50.9,Needs Attention,5
Snake Plant,Outdoor - Shade,Rainy Season,20.6,42.1,58.1,21.5,7,11.7,1,40.1,At Risk,16
Spider Plant,Outdoor - Shade,Rainy Season,26.9,45.9,52.6,20.6,6,3.2,1,45.3,At Risk,9
Philodendron,Outdoor - Shade,Rainy Season,24.4,37.5,30.9,29.2,1,9.8,1,58.2,Needs Attention,9
ZZ Plant,Indoor - Low Light,Dry Season,35.0,49.8,49.6,0.2,1,8.0,1,96.5,Healthy,12
Peace Lily,Indoor - Bright Light,Rainy Season,31.5,32.7,6.9,14.5,0,8.2,1,92.3,Healthy,7
Pothos,Outdoor - Shade,Rainy Season,33.2,72.0,0.7,15.3,4,5.9,1,11.7,At Risk,9
Orchid,Indoor - Low Light,Rainy Season,19.8,73.5,1.3,19.3,3,5.1,0,44.4,At Risk,9
Spider Plant,Indoor - Medium Light,Rainy Season,21.5,81.3,44.4,4.1,2,4.9,1,93.6,Healthy,9
Orchid,Outdoor - Full Sun,Rainy Season,27.2,50.8,43.1,17.1,2,6.7,1,47.5,At Risk,9
Aloe Vera,Indoor - Medium Light,Rainy Season,32.3,53.9,2.7,13.5,4,5.1,0,45.4,At Risk,16
ZZ Plant,Indoor - Low Light,Dry Season,35.4,71.0,10.6,23.3,1,11.0,1,42.8,At Risk,12
Pothos,Indoor - Medium Light,Dry Season,23.0,78.5,8.5,26.0,2,4.9,1,47.5,At Risk,9
Boston Fern,Outdoor - Full Sun,Dry Season,26.7,33.4,74.2,19.3,5,3.1,0,22.4,At Risk,1
Snake Plant,Outdoor - Full Sun,Dry Season,27.1,58.0,57.2,28.0,5,8.4,1,12.5,At Risk,12
Monstera,Indoor - Medium Light,Dry Season,19.8,69.3,87.9,15.4,2,8.5,1,43.2,At Risk,5
